geno_pos	seqname	gene_pos	Kronja_mature_oocyte	Kronja_activated_egg	Samuels_GSC_AHS0	Samuels_GSC_AHS0.5	Samuels_GSC_AHS5	Samuels_GSC_AHS9	Samuels_GSC_AHS18	Samuels_GSC_AHS28	Samuels_GSC_AHS38	Douka_S2_UTD2	dmel_em_0_2h	dmel_em_2_6h	dmel_em_6_12h	dmel_em_12_24h	dmel_larva	dmel_pupa	dmel_female_body	dmel_male_body	dmel_female_head	dmel_male_head	Luo_S2_cell_ago2KD	Luo_S2_cell_ago2KD_serum_starvation	Luo_S2_cell_DMSO	Luo_S2_cell_dsNC	Luo_S2_cell_normal_starvation	Luo_S2_cell_rapamycin	Luo_S2_cell_serum_starvation	Luo_S2_cell_ssNC	Luo_S2_cell_T3	Luo_S2_cell_T6	Luo_S2_cell_T10	Dunn_em02	sum
2R_14768110	2R	14768110	4	0	0	0	0	0	0	0	0	1	1	0	1	7	0	1	0	2	0	1	0	1	0	0	0	5	0	0	1	3	0	0	28
2R_14768118	2R	14768118	2	1	0	0	0	3	0	0	0	0	8	0	0	2	0	2	2	1	4	4	2	3	6	1	0	0	0	3	4	0	0	13	61
2R_14768367	2R	14768367	0	4	2	1	1	0	1	0	0	0	12	5	0	3	11	9	31	22	8	2	10	11	1	6	3	4	0	5	31	17	5	15	220
2R_14769278	2R	14769278	6	14	10	1	4	0	4	6	1	0	19	4	3	5	0	5	1	9	2	1	1	2	4	2	0	0	0	0	0	1	0	3	108
2R_14769375	2R	14769375	11	12	13	17	72	29	12	57	33	3	58	4	4	13	2	6	18	48	7	4	106	126	56	22	24	39	8	60	284	148	70	10	1376
2R_14770929	2R	14770929	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
2R_14771134	2R	14771134	0	2	0	0	0	0	0	0	0	0	0	5	1	0	2	3	2	1	0	0	0	1	0	0	2	0	0	0	1	0	0	0	20
2R_14771167	2R	14771167	0	0	0	0	0	0	0	0	0	0	2	3	0	0	3	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	2	14
2R_14771184	2R	14771184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4
2R_14771207	2R	14771207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
2R_14771270	2R	14771270	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	6
2R_14771276	2R	14771276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	5
2R_14796998	2R	14796998	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2R_14797014	2R	14797014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2R_14845488	2R	14845488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2R_14845692	2R	14845692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
2R_14845707	2R	14845707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2R_14848323	2R	14848323	18	8	10	0	0	1	7	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	3	3	1	2	1	64
2R_14852648	2R	14852648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2R_14855017	2R	14855017	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	8
2R_14855025	2R	14855025	13	3	3	0	0	2	1	0	1	0	4	6	0	1	2	3	3	9	1	0	16	18	1	8	2	7	2	8	13	12	5	2	146
2R_14855498	2R	14855498	2	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7
2R_14858636	2R	14858636	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
2R_14860724	2R	14860724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
2R_14870937	2R	14870937	46	4	7	9	18	19	8	2	4	2	4	0	0	1	0	1	2	1	0	0	3	4	3	0	4	0	1	0	3	0	1	5	152
2R_14871491	2R	14871491	3	1	0	0	0	0	0	0	0	0	0	3	0	0	2	3	3	0	0	0	1	2	0	1	0	1	0	0	2	0	0	0	22
2R_14871689	2R	14871689	6	10	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21
2R_14881331	2R	14881331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	5	4	2	1	3	1	0	0	0	0	0	1	0	2	0	23
2R_14898344	2R	14898344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2R_14898349	2R	14898349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2R_14899214	2R	14899214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5
2R_14899259	2R	14899259	2	0	2	0	2	0	1	2	0	0	2	0	0	3	4	0	4	2	2	3	1	0	0	0	0	0	0	0	0	0	0	0	30
2R_14899378	2R	14899378	2	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	12
2R_14899456	2R	14899456	0	0	0	0	0	0	0	0	0	0	1	1	0	5	1	0	7	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	22
2R_14899486	2R	14899486	0	0	0	0	1	1	0	2	1	0	3	0	0	4	2	0	5	6	1	1	0	1	0	0	0	0	0	0	0	0	0	0	28
2R_14903805	2R	14903805	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2R_14907214	2R	14907214	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
2R_14907252	2R	14907252	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	1	2	4	2	1	2	0	0	0	0	0	1	0	0	0	0	18
2R_14907273	2R	14907273	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	1	7	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	18
2R_14907424	2R	14907424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2R_14907463	2R	14907463	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	7
2R_14907662	2R	14907662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
2R_14907707	2R	14907707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	0	0	0	0	0	0	0	0	0	1	0	0	0	8
2R_14907787	2R	14907787	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
2R_14907795	2R	14907795	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	2	0	0	2	0	0	0	0	0	1	1	0	0	10
2R_14907806	2R	14907806	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3
2R_14907846	2R	14907846	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	11
2R_14907881	2R	14907881	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	5	5	3	1	1	0	1	0	0	0	0	0	0	0	0	0	20
2R_14907936	2R	14907936	0	0	0	0	0	1	0	2	0	0	0	0	2	2	2	1	3	3	1	1	5	3	0	0	0	4	0	0	8	1	0	0	39
2R_14912104	2R	14912104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2R_14917058	2R	14917058	0	0	0	0	0	0	0	0	0	0	0	1	3	8	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	16
2R_14917069	2R	14917069	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2R_14917105	2R	14917105	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8
2R_14917181	2R	14917181	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
2R_14917189	2R	14917189	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9
2R_14917208	2R	14917208	0	0	0	0	0	0	0	0	0	0	0	0	4	8	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	15
2R_14926438	2R	14926438	0	0	0	0	0	0	0	0	0	0	0	1	10	4	1	8	5	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	35
2R_14926480	2R	14926480	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5
2R_14926496	2R	14926496	0	0	0	1	0	0	0	1	0	0	0	1	0	8	2	6	4	3	4	6	0	0	0	0	0	0	0	0	0	0	0	0	36
2R_14926499	2R	14926499	0	0	0	1	0	0	0	0	0	0	0	0	2	5	0	1	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	14
2R_14926705	2R	14926705	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
2R_14926731	2R	14926731	0	0	5	0	0	0	2	0	0	0	0	2	1	0	1	5	3	1	2	1	0	0	0	0	0	0	1	0	0	0	0	0	24
2R_14928055	2R	14928055	0	0	4	2	2	3	1	1	5	0	0	1	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
2R_14928348	2R	14928348	0	0	0	1	1	4	2	10	5	0	0	0	1	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	29
2R_14933057	2R	14933057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
2R_14933558	2R	14933558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
2R_14934857	2R	14934857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2R_14935752	2R	14935752	4	12	1	0	0	0	0	0	0	1	6	7	0	0	3	2	2	2	1	0	8	4	5	5	2	5	0	6	15	14	10	34	149
2R_14935778	2R	14935778	0	2	2	0	3	4	0	1	6	0	6	1	1	1	1	0	0	0	0	0	3	2	5	0	1	2	0	2	3	2	2	8	58
2R_14935807	2R	14935807	3	14	0	0	5	0	1	2	0	0	12	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	48
2R_14935834	2R	14935834	0	3	0	0	0	0	0	0	1	0	19	2	2	0	1	0	2	2	2	0	3	1	0	0	0	1	0	1	1	2	1	8	52
2R_14935882	2R	14935882	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
2R_14935949	2R	14935949	4	4	1	1	5	4	2	5	7	0	7	4	2	2	0	0	1	0	0	1	2	3	1	1	2	0	0	0	1	5	0	6	71
2R_14935955	2R	14935955	0	4	0	0	0	0	0	1	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
2R_14935961	2R	14935961	1	2	0	0	0	0	1	1	0	0	19	1	0	1	0	0	1	0	1	0	1	2	0	0	0	4	0	0	0	0	0	1	36
2R_14935966	2R	14935966	0	2	1	1	0	0	0	0	0	0	12	1	1	0	1	0	0	0	0	0	12	13	2	3	0	4	0	0	0	0	0	3	56
2R_14935971	2R	14935971	1	0	0	0	0	0	0	0	0	0	18	1	1	0	0	0	0	2	1	0	12	10	7	1	1	0	2	16	7	10	3	7	100
2R_14936008	2R	14936008	0	2	0	0	0	1	0	1	0	0	10	3	16	0	0	0	1	1	0	1	2	5	0	2	0	0	0	0	0	0	0	1	46
2R_14958335	2R	14958335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
2R_14962785	2R	14962785	3	2	0	2	4	2	1	3	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	21
2R_14962814	2R	14962814	0	0	3	2	2	1	0	4	1	0	0	3	4	0	1	3	2	4	0	0	14	13	17	0	2	12	5	2	27	17	6	5	150
2R_14962818	2R	14962818	6	5	6	3	6	2	3	4	5	2	1	0	2	3	2	2	2	2	0	0	5	9	0	1	3	0	0	1	5	4	1	1	86
2R_14962888	2R	14962888	42	8	0	0	0	0	0	0	0	0	6	3	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	1	6	1	3	75
2R_14963499	2R	14963499	2	0	40	22	24	16	32	34	26	0	0	0	1	1	0	1	3	5	0	1	1	1	0	0	0	0	0	0	1	0	0	0	211
2R_14963626	2R	14963626	0	0	2	4	12	4	6	14	10	1	0	2	3	3	1	2	3	7	1	0	0	0	0	0	0	0	0	0	0	0	0	1	76
2R_14963691	2R	14963691	0	0	4	0	1	0	0	0	0	0	0	0	1	2	0	2	0	1	0	0	1	0	5	0	0	0	0	3	3	0	4	0	27
2R_14963710	2R	14963710	1	0	0	0	5	0	0	0	2	0	0	0	0	3	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
2R_14963846	2R	14963846	1	0	1	0	1	0	0	0	0	0	2	12	0	16	1	9	9	15	5	6	0	0	0	0	0	0	0	0	0	0	0	0	78
2R_14965792	2R	14965792	0	0	11	4	6	6	3	6	4	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	44
2R_14965818	2R	14965818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2R_14965842	2R	14965842	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3
2R_14965894	2R	14965894	0	0	0	1	0	0	4	0	0	0	0	0	0	4	2	12	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	26
2R_14965933	2R	14965933	0	0	0	0	0	0	0	0	0	0	0	1	2	0	3	14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	21
2R_14965997	2R	14965997	2	0	2	0	0	0	0	3	0	0	0	0	1	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
2R_14975935	2R	14975935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2R_14975948	2R	14975948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2R_14981359	2R	14981359	41	0	48	40	35	33	38	48	32	1	0	7	6	7	1	2	5	9	3	1	12	10	14	8	7	18	1	6	15	15	7	5	475
2R_14981432	2R	14981432	0	0	0	0	1	0	2	0	0	1	0	14	19	8	0	6	3	6	8	2	2	7	0	0	1	5	0	0	0	0	0	1	86
2R_14981443	2R	14981443	4	0	15	24	57	29	10	14	35	0	4	5	13	10	2	8	18	4	13	8	11	21	21	30	0	5	0	5	16	28	15	4	429
2R_14981497	2R	14981497	9	0	0	0	0	0	0	0	0	0	0	4	8	3	1	2	4	3	1	1	1	0	3	1	0	0	0	0	2	1	0	0	44
2R_14981643	2R	14981643	4	0	17	6	6	5	6	24	12	1	1	5	10	11	1	6	3	2	8	0	0	1	0	0	0	1	0	0	0	0	0	1	131
2R_14981677	2R	14981677	1	1	0	0	0	0	0	0	0	0	1	10	2	3	0	8	3	1	0	0	0	2	0	0	0	2	0	0	2	1	0	2	39
2R_14993820	2R	14993820	1	0	9	2	24	13	1	10	5	0	0	4	0	0	1	2	1	0	0	0	4	4	13	9	0	10	1	7	14	4	7	7	153
2R_15011549	2R	15011549	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	17
2R_15011615	2R	15011615	0	0	0	0	0	0	0	0	0	0	0	1	11	8	5	5	0	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	36
2R_15011627	2R	15011627	0	0	0	0	0	0	0	0	1	0	0	1	5	12	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	25
2R_15115481	2R	15115481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2R_15115683	2R	15115683	0	0	0	0	0	0	0	0	0	0	1	0	0	43	0	6	0	2	4	10	0	0	0	0	0	0	0	0	0	0	0	0	66
2R_15129137	2R	15129137	16	0	0	0	0	0	1	1	0	0	7	9	19	3	0	0	0	0	0	0	1	11	0	1	0	0	0	0	0	3	1	6	79
2R_15155624	2R	15155624	0	0	0	0	0	0	0	0	0	0	0	0	0	17	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
2R_15155698	2R	15155698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
2R_15155786	2R	15155786	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
2R_15163928	2R	15163928	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9
2R_15163988	2R	15163988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2R_1516709	2R	1516709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2R_1516747	2R	1516747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2R_15185168	2R	15185168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2R_15201097	2R	15201097	7	37	7	2	4	2	2	1	0	0	1	1	1	0	1	0	0	6	0	1	1	5	5	1	0	1	2	0	3	4	0	0	95
2R_15201263	2R	15201263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2R_15201323	2R	15201323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4
2R_15201482	2R	15201482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2R_15201490	2R	15201490	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
2R_15201540	2R	15201540	2	2	1	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	15
2R_15201551	2R	15201551	1	2	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	2	12
2R_15201566	2R	15201566	2	7	4	0	1	1	0	0	0	0	17	5	4	5	0	3	2	2	2	2	4	7	2	3	0	0	0	5	1	7	0	33	119
2R_15201578	2R	15201578	0	1	0	3	6	4	0	2	1	0	0	1	0	1	0	0	0	0	0	1	0	2	2	0	0	0	0	1	1	1	1	0	28
2R_15213622	2R	15213622	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
2R_15213634	2R	15213634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2R_1521428	2R	1521428	9	23	0	0	0	0	0	0	0	0	46	60	17	30	7	6	5	13	20	5	9	10	4	0	3	7	1	5	17	7	4	42	350
2R_1521449	2R	1521449	0	1	0	4	7	3	2	4	4	4	126	21	253	71	22	44	85	62	47	62	35	83	93	54	12	95	3	82	112	103	69	32	1595
2R_1521476	2R	1521476	73	36	12	4	5	4	4	12	1	3	66	7	32	23	22	22	83	74	27	22	59	81	47	68	2	106	6	116	110	207	134	77	1545
2R_1521568	2R	1521568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2R_1521600	2R	1521600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2R_1521608	2R	1521608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2R_15216220	2R	15216220	0	0	0	0	1	0	2	4	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	14
2R_1521707	2R	1521707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2R_1521711	2R	1521711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2R_15218379	2R	15218379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2R_15239578	2R	15239578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2R_15239663	2R	15239663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2R_15239766	2R	15239766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2R_15241280	2R	15241280	7	0	0	7	2	4	0	0	3	0	0	0	0	0	0	0	2	3	1	1	0	0	0	0	0	0	0	0	2	0	0	0	32
2R_15241351	2R	15241351	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	10
2R_15241462	2R	15241462	2	0	1	0	2	1	1	4	0	0	0	0	0	0	0	1	0	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	19
2R_15241569	2R	15241569	9	0	6	8	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	28
2R_15248842	2R	15248842	0	0	6	5	8	8	2	8	2	0	1	0	11	4	13	8	9	10	1	0	2	5	0	0	0	0	0	1	0	0	0	0	104
2R_15248875	2R	15248875	0	0	0	0	0	0	0	0	0	0	0	3	16	3	12	35	17	5	2	1	7	2	2	0	1	3	0	1	0	1	0	0	111
2R_15248889	2R	15248889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2R_15248896	2R	15248896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2R_15249267	2R	15249267	3	0	0	0	0	0	0	0	0	0	0	3	2	2	13	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54
2R_15249286	2R	15249286	0	0	0	0	0	0	1	1	0	0	0	0	1	2	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	12
2R_1526833	2R	1526833	1	2	0	0	0	0	0	0	0	0	1	2	1	1	5	1	4	4	0	0	3	5	3	1	0	0	0	2	5	4	0	1	46
2R_1526850	2R	1526850	13	5	0	0	0	0	0	0	0	0	3	2	1	7	3	7	17	6	0	0	3	4	2	3	1	3	1	0	4	1	2	0	88
2R_1526856	2R	1526856	2	5	0	1	3	0	0	0	0	0	1	2	1	0	5	0	2	4	0	0	3	7	2	0	3	1	0	1	0	2	0	2	47
2R_1526866	2R	1526866	0	2	0	0	1	0	0	1	0	0	4	8	4	4	1	2	3	11	3	1	2	1	5	2	0	2	0	1	6	1	0	2	67
2R_1527031	2R	1527031	6	4	6	31	21	10	17	10	6	0	9	14	1	2	6	6	9	5	4	2	63	35	16	37	29	15	2	27	41	40	14	8	496
2R_1527052	2R	1527052	1	0	0	2	1	0	0	2	0	0	0	0	1	0	0	0	2	2	0	0	1	2	5	0	3	0	0	0	0	2	0	0	24
2R_15286567	2R	15286567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2R_15291002	2R	15291002	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	4	3	1	0	0	0	0	0	0	0	0	0	0	2	1	0	13
2R_15291096	2R	15291096	2	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	11
2R_15291284	2R	15291284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	4
2R_15292852	2R	15292852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
2R_15307038	2R	15307038	0	3	0	1	1	0	2	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	13
2R_15307063	2R	15307063	0	0	0	0	0	0	0	0	0	0	10	2	0	6	1	2	2	4	2	3	2	0	1	0	1	0	0	0	4	5	0	7	52
2R_15307081	2R	15307081	4	7	1	0	0	0	0	0	0	0	17	2	0	5	1	0	2	7	4	1	1	1	0	2	0	0	0	0	1	2	1	7	66
2R_15307227	2R	15307227	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
2R_15308975	2R	15308975	15	9	8	3	16	5	0	9	11	0	3	0	1	0	0	0	1	4	0	1	1	3	0	0	0	1	0	0	2	4	1	6	104
2R_15309266	2R	15309266	1	0	3	8	4	0	2	3	4	0	0	0	0	3	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	33
2R_15311091	2R	15311091	5	0	0	2	2	10	5	0	0	0	1	0	0	0	0	0	0	1	0	0	2	2	2	1	2	0	0	0	2	5	0	0	42
